"","T0","T1","T2","T4","T5","T6","T7","T8"
"OSTC",3158.6,4787.23333333333,4357.98,3407.4,4885.06666666667,3807.13333333333,4657.43333333333,4337.53333333333
"OSTF1",11470.7333333333,13489.1,14686.0333333333,12042.2333333333,12280.7333333333,9450.26666666667,10797.6666666667,9457.8
"OSTM1",18699.3333333333,18644,19061.3333333333,17320.2333333333,19221.2333333333,23159.3333333333,24840.3333333333,25172.6666666667
"OTUB1",26453.6666666667,25853,25018.6666666667,20899.6666666667,21217.3333333333,17052.6666666667,18417,16953.3333333333
"OTUD4",11150.2333333333,11636.3666666667,12150.3666666667,10425.4333333333,10181.2666666667,8613.13333333333,8804.86666666667,8502.93333333333
"OTUD7B",6937.6,8193.23333333333,9461.93333333333,1847.36666666667,2231.06666666667,2314.83333333333,2180.03333333333,2429.63333333333
"OTULIN",7701.4,7202.3,6718.46666666667,5243.73333333333,5900.13333333333,5485.1,6503.36666666667,5490.46666666667
"OVCA2",3941.16666666667,4188.66666666667,4648.73333333333,6351.26666666667,7347.9,5769.1,6554.2,7148.03333333333
"OXA1L",75555.3333333333,85230.3333333333,87140.6666666667,60221.6666666667,60298.3333333333,58743.6666666667,58457.6666666667,57153.3333333333
"OXCT1",107366,134803.666666667,125836.666666667,91475.6666666667,93136.3333333333,96471.3333333333,103919.666666667,90602
"OXLD1",1937.2,2282.8,2459.56666666667,1750.93333333333,1972.7,2181.66666666667,1906.7,1504.83333333333
"OXNAD1",14983.1666666667,16918.9,16533.1,12941.7333333333,13026.1,11873.4666666667,13506.5666666667,12684.9
"OXR1",2543.96666666667,2247.86666666667,2134.2,2291,1868,1772.23333333333,1828.5,1591.06666666667
"OXSM",57658.3333333333,62514.3333333333,61085.6666666667,39019.6666666667,40350.6666666667,41894,35998.3333333333,38868.6666666667
"OXSR1",28063.6666666667,27470,24047.6666666667,21528.6666666667,23765.6666666667,18849.6666666667,20374.3333333333,19194.6666666667
"P2RX4",5305.93333333333,6155.8,5432,6477.46666666667,7186.26666666667,5143.03333333333,7813.56666666667,6353.46666666667
"P2RY2",1343.3,1372.76666666667,1517.9,2752.13333333333,2891.8,2604,2013.13333333333,1827.9
"P4HA1",97679.3333333333,99223,103771,172590,204220,173176.666666667,167790,145633.333333333
"P4HA2",95631.3333333333,101902,118040,129520,153050,142346.666666667,141476.666666667,139803.333333333
"P4HB",514203.333333333,565313.333333333,528966.666666667,589400,704926.666666667,662236.666666667,684233.333333333,674630
"P4HTM",10679.6333333333,11443.7,11025.0666666667,10153.0333333333,11325,12462.0666666667,12638.4333333333,13702.0333333333
"PA2G4",121549.666666667,117769.333333333,111819.666666667,94759.3333333333,97767.6666666667,76463.3333333333,92985,77569
"PABPC1;PABPC3",180996.666666667,174633.333333333,170096.666666667,130680.333333333,145412,141404,151342.333333333,141323.333333333
"PABPC4",51001.6666666667,48725.4833333333,49072.1,27704.8833333333,29629.4833333333,27425.5833333333,29275.9,27877.6833333333
"PABPN1",27285.4266666667,28456.7883333333,30040.17,24972.3133333333,27438.2933333333,27219.8166666667,30079.8,27645.79
"PACS1",5049.06666666667,4581.16666666667,5036.66666666667,3936.6,4581.4,3837.23333333333,4241.13333333333,4655.13333333333
"PACS2",146.676666666667,129.883333333333,187.176666666667,100.656666666667,154.593333333333,42.8233333333333,0,0
"PACSIN2",82702,85356.6666666667,75987.3333333333,66428,71386.3333333333,66171,66944.3333333333,65402.6666666667
"PACSIN3",47311.3333333333,50914.3333333333,46031,41161.6666666667,43300.3333333333,38576,41207,36710.3333333333
"PADI2",124113.666666667,163336.666666667,130960.333333333,83327.6666666667,75515.3333333333,65038.6666666667,64429,52929.3333333333
"PAF1",30638.3333333333,33986,31508,23695,26798.6666666667,27406.6666666667,26666.6666666667,25977.3333333333
"PAFAH1B1",30520.6666666667,35830.6666666667,36776.3333333333,31264,34208,25317,30204,24423.6666666667
"PAFAH1B2",19023.3333333333,18259.3333333333,17248.6666666667,13815.1666666667,14920.2666666667,14459.7333333333,15568.5333333333,14610.7666666667
"PAFAH1B3",6358.5,5682.13333333333,6086.56666666667,6489,7310.53333333333,6583.7,6031.23333333333,5996.43333333333
"PAFAH2",26120,31704,28482.3333333333,29601.3333333333,30735,28416.6666666667,33946.6666666667,28875
"PAICS",36914,36621,37349,27096.3333333333,25226.3333333333,20371,21128.3333333333,17953.6666666667
"PAIP1",8391.96666666667,8657.4,9009.16666666667,9073.36666666667,10667.7666666667,8584.2,8799.3,8578.8
"PAK1IP1",33435,34206.3333333333,34216.6666666667,19350.6666666667,20099.6666666667,20108,21561.3333333333,22275.6666666667
"PAK2",30840,30545,26716,30198.3333333333,35278,27863,29929.3333333333,26185.6666666667
"PAK4",11568,11201.7666666667,10490.9333333333,11407.3666666667,12299.4,10862.6333333333,11120.3666666667,11055.2666666667
"PAK6",3403.5,4284.66666666667,4686.7,2650.23333333333,1995.46666666667,1981.03333333333,1784.03333333333,1475.8
"PALLD",42552,42937,40825,56928.3333333333,82904,81170.3333333333,93917,100707
"PALMD",0,0,0,0,0,163.656666666667,141.443333333333,0
"PAM",12338.9,13293.4,12445.8,14941.1666666667,14703.9666666667,13819.2666666667,14583,13295.1666666667
"PAN2",558.4,471.8,566.066666666667,128.29,154.576666666667,249.8,134.236666666667,308.24
"PAN3",3702.93333333333,3813.9,4038.13333333333,2340.2,2545.8,2970.36666666667,2339.23333333333,2600.93333333333
